iter	Passed	Remaining
0	155	155124
1	162	81087
2	169	56340
3	176	44038
4	183	36594
5	189	31476
6	195	27792
7	202	25083
8	208	22985
9	214	21266
10	221	19876
11	227	18707
12	233	17725
13	239	16893
14	245	16150
15	252	15501
16	258	14936
17	263	14350
18	267	13823
19	271	13290
20	274	12818
21	278	12360
22	280	11935
23	283	11544
24	286	11173
25	289	10831
26	291	10517
27	294	10214
28	296	9924
29	298	9655
30	300	9402
31	302	9160
32	304	8931
33	306	8712
34	308	8506
35	310	8313
36	312	8128
37	314	7954
38	316	7787
39	317	7631
40	320	7489
41	322	7353
42	324	7222
43	326	7091
44	328	6964
45	329	6843
46	331	6727
47	333	6616
48	335	6511
49	337	6409
50	339	6315
51	341	6224
52	343	6133
53	345	6044
54	346	5960
55	348	5878
56	350	5798
57	352	5722
58	354	5650
59	356	5579
60	357	5509
61	359	5442
62	361	5378
63	363	5314
64	365	5253
65	366	5193
66	368	5136
67	370	5080
68	372	5026
69	374	4973
70	376	4921
71	377	4871
72	379	4822
73	381	4776
74	383	4732
75	385	4690
76	387	4645
77	389	4602
78	391	4560
79	392	4519
80	394	4478
81	396	4439
82	398	4401
83	400	4364
84	402	4328
85	404	4294
86	405	4259
87	407	4225
88	409	4192
89	411	4159
90	413	4127
91	414	4095
92	416	4064
93	418	4034
94	420	4005
95	422	3977
96	424	3949
97	426	3922
98	428	3896
99	429	3869
100	431	3843
101	433	3817
102	435	3792
103	437	3767
104	439	3743
105	441	3719
106	442	3696
107	444	3672
108	446	3650
109	448	3627
110	450	3604
111	451	3583
112	453	3561
113	455	3541
114	457	3520
115	459	3499
116	461	3480
117	462	3460
118	464	3440
119	466	3421
120	468	3402
121	470	3383
122	472	3368
123	474	3351
124	476	3334
125	478	3317
126	480	3300
127	481	3283
128	483	3266
129	485	3249
130	487	3232
131	489	3216
132	490	3200
133	492	3185
134	494	3169
135	496	3154
136	498	3138
137	500	3123
138	501	3108
139	503	3093
140	505	3079
141	507	3065
142	509	3051
143	510	3037
144	512	3024
145	514	3010
146	516	2998
147	518	2985
148	520	2972
149	522	2959
150	524	2946
151	525	2933
152	527	2921
153	529	2908
154	531	2895
155	533	2883
156	534	2871
157	536	2860
158	538	2848
159	540	2837
160	542	2825
161	544	2814
162	545	2802
163	547	2791
164	549	2780
165	551	2769
166	552	2758
167	554	2747
168	556	2736
169	558	2726
170	560	2716
171	562	2706
172	564	2696
